StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,Cluster,PCA1,PCA2
17,80,2,0,1,1,1,27,0,12,0,64,88,1,0,0,0,-0.6332504977180325,-0.59431402501267
17,80,2,0,1,1,1,29,1,0,1,73,78,1,0,1,2,-0.6361519517730604,0.40362679507407384
17,97,2,1,0,1,1,27,1,9,0,64,87,1,1,0,0,0.38004121680373093,-0.5919444266515962
17,97,2,1,0,1,1,25,2,20,1,70,82,1,1,1,1,0.37452377919059743,0.4081015083098639
17,97,1,0,1,1,1,27,1,9,0,64,87,1,1,0,0,-0.603832859154124,-0.6078073408889474
17,97,1,0,1,1,1,25,2,20,1,70,82,1,1,1,2,-0.6093502967672575,0.3922385940725128
17,97,2,0,2,1,1,27,1,9,0,64,87,1,1,0,0,-0.6080231020342379,-0.6276806151447463
17,97,2,0,2,1,1,25,2,20,1,70,82,1,1,1,2,-0.6135405396473715,0.37236531981671395
17,97,2,1,1,0,1,27,1,9,0,64,87,1,1,0,0,0.4035174707152297,-0.6019252331757232
17,97,2,1,1,0,1,25,2,20,1,70,82,1,1,1,1,0.398000033102096,0.3981207017857369
17,97,2,0,1,1,1,27,1,9,0,64,87,1,1,0,0,-0.6118171656198935,-0.6121775415745545
17,97,2,0,1,1,1,25,2,20,1,70,82,1,1,1,2,-0.6173346032330271,0.3878683933869057
17,97,0,1,1,1,1,27,1,9,0,64,87,1,1,0,0,0.3998038933209259,-0.5987070988505737
17,97,0,1,1,1,1,25,2,20,1,70,82,1,1,1,1,0.3942864557077922,0.4013388361108865
17,97,1,1,1,1,1,27,1,9,0,64,87,1,1,0,0,0.3918195868551563,-0.6030772995361808
17,97,1,1,1,1,1,25,2,20,1,70,82,1,1,1,1,0.38630214924202255,0.3969686354252794
17,97,0,0,2,0,1,27,1,9,0,64,87,1,1,0,0,-0.5723722987768556,-0.6134179467274672
17,97,0,0,2,0,1,25,2,20,1,70,82,1,1,1,2,-0.5778897363899892,0.3866279882339929
17,97,1,1,0,1,1,27,1,9,0,64,87,1,1,0,0,0.38802552326950057,-0.5875742259659891
17,97,1,1,0,1,1,25,2,20,1,70,82,1,1,1,1,0.38250808565636707,0.41247170899547114
21,83,1,1,0,1,1,27,2,1,0,66,86,0,1,0,3,0.46753303599136486,-0.5873877752086619
21,83,1,1,0,1,1,27,0,7,1,77,96,1,1,0,1,0.38087200516237985,0.4142594925424944
21,83,1,1,2,1,1,27,2,1,0,66,86,0,1,0,3,0.4751211631626763,-0.6183939223490453
21,83,1,1,2,1,1,27,0,7,1,77,96,1,1,0,1,0.38846013233369125,0.38325334540211087
21,83,0,0,0,1,1,27,2,1,0,66,86,0,1,0,3,-0.5201351035521455,-0.5877476158758212
21,83,0,0,0,1,1,27,0,7,1,77,96,1,1,0,2,-0.6067961343811306,0.41389965187533495
21,83,0,1,0,1,1,27,2,1,0,66,86,0,1,0,3,0.4755173424571345,-0.5830175745230548
21,83,0,1,0,1,1,27,0,7,1,77,96,1,1,0,1,0.3888563116281495,0.4186296932281014
21,83,2,1,2,1,1,27,2,1,0,66,86,0,1,0,3,0.4671368566969064,-0.6227641230346526
21,83,2,1,2,1,1,27,0,7,1,77,96,1,1,0,1,0.3804758258679214,0.37888314471650375
21,83,2,0,1,1,1,27,2,1,0,66,86,0,1,0,3,-0.5323096528980291,-0.6119910908172272
21,83,2,0,1,1,1,27,0,7,1,77,96,1,1,0,2,-0.6189706837270142,0.38965617693392895
9,82,1,1,1,1,1,18,3,17,0,55,40,1,2,3,0,0.4064634384887822,-0.6177055794135504
9,82,1,1,1,1,1,25,3,13,0,73,46,1,2,3,0,0.40497358942388206,-0.617794976273254
10,78,2,1,1,1,1,27,2,5,0,71,68,1,2,2,0,0.39751147873665893,-0.6221543645638801
10,78,2,1,1,1,1,20,3,17,0,85,78,1,2,1,0,0.394414679002731,-0.6208096203595295
17,68,1,0,1,1,0,19,3,0,1,75,42,1,1,3,2,-0.6128656591460481,0.39437808643719463
17,68,1,0,1,1,0,24,2,4,1,87,64,1,2,2,2,-0.5969035644485791,0.37966475647379294
17,68,1,0,1,1,0,20,3,19,1,88,49,1,1,3,2,-0.616748952153506,0.39636214111028856
17,68,1,1,1,1,0,19,3,0,1,75,42,1,1,3,1,0.3827867868632321,0.3991081277899612
17,68,1,1,1,1,0,24,2,4,1,87,64,1,2,2,1,0.3987488815607011,0.3843947978265594
17,68,1,1,1,1,0,20,3,19,1,88,49,1,1,3,1,0.37890349385577415,0.4010921824630551
17,68,1,0,2,1,0,19,3,0,1,75,42,1,1,3,2,-0.6090715955603925,0.37887501286700287
17,68,1,0,2,1,0,24,2,4,1,87,64,1,2,2,2,-0.5931095008629235,0.3641616829036012
17,68,1,0,2,1,0,20,3,19,1,88,49,1,1,3,2,-0.6129548885678504,0.3808590675400968
17,68,2,1,1,1,0,19,3,0,1,75,42,1,1,3,1,0.37480248039746245,0.39473792710435407
17,68,2,1,1,1,0,24,2,4,1,87,64,1,2,2,1,0.39076457509493145,0.38002459714095227
17,68,2,1,1,1,0,20,3,19,1,88,49,1,1,3,1,0.3709191873900045,0.3967219817774479
17,68,0,1,2,1,0,19,3,0,1,75,42,1,1,3,1,0.3945651569146572,0.38797525490537654
17,68,0,1,2,1,0,24,2,4,1,87,64,1,2,2,1,0.41052725161212633,0.37326192494197485
17,68,0,1,2,1,0,20,3,19,1,88,49,1,1,3,1,0.3906818639071993,0.38995930957847047
22,70,1,1,1,1,0,22,3,1,1,74,40,1,2,3,1,0.40113900989588025,0.38488123442853506
22,70,1,0,0,1,0,22,3,1,1,74,40,1,2,3,2,-0.5983074996990555,0.39565426664596026
22,70,2,1,2,1,0,22,3,1,1,74,40,1,2,3,1,0.3969487670157662,0.3650079601727362
22,70,1,1,0,1,0,22,3,1,1,74,40,1,2,3,1,0.39734494631022466,0.4003843079987268
22,70,2,1,1,1,0,22,3,1,1,74,40,1,2,3,1,0.3931547034301106,0.38051103374292794
15,80,1,1,0,1,0,23,2,2,0,50,56,0,1,2,3,0.468400172069127,-0.5886337632280083
15,80,1,1,0,1,0,21,2,7,1,87,89,1,0,0,1,0.36116403824098975,0.4286092131857372
15,80,1,1,0,1,0,23,1,13,1,56,75,1,2,1,1,0.39946457080101017,0.3981246278876793
15,80,2,0,1,1,0,23,2,2,0,50,56,0,1,2,3,-0.5314425168202672,-0.6132370788365737
15,80,2,0,1,1,0,21,2,7,1,87,89,1,0,0,2,-0.6386786506484045,0.40400589757717176
15,80,2,0,1,1,0,23,1,13,1,56,75,1,2,1,2,-0.600378118088384,0.373521312279114
15,80,0,0,2,1,0,23,2,2,0,50,56,0,1,2,3,-0.5116798403030723,-0.6199997510355512
15,80,0,0,2,1,0,21,2,7,1,87,89,1,0,0,2,-0.6189159741312096,0.39724322537819423
15,80,0,0,2,1,0,23,1,13,1,56,75,1,2,1,2,-0.580615441571189,0.3667586400801365
15,80,1,0,1,1,0,23,2,2,0,50,56,0,1,2,3,-0.5234582103544976,-0.6088668781509666
15,80,1,0,1,1,0,21,2,7,1,87,89,1,0,0,2,-0.6306943441826348,0.4083760982627789
15,80,1,0,1,1,0,23,1,13,1,56,75,1,2,1,2,-0.5923938116226144,0.3778915129647211
15,80,1,1,1,1,0,23,2,2,0,50,56,0,1,2,3,0.47219423565478247,-0.6041368367982001
15,80,1,1,1,1,0,21,2,7,1,87,89,1,0,0,1,0.36495810182664534,0.41310613961554543
15,80,1,1,1,1,0,23,1,13,1,56,75,1,2,1,1,0.40325863438666576,0.3826215543174877
12,75,2,1,1,1,1,21,0,16,1,66,71,1,2,1,1,0.3927177139719944,0.3786218811189339
12,75,2,1,1,1,1,22,2,20,1,55,48,1,1,3,1,0.3756183345166898,0.39409977662724105
29,78,1,0,2,1,0,28,0,2,1,67,91,1,2,0,2,-0.5882958049845365,0.3652880439565771
29,78,2,1,1,1,0,28,0,2,1,67,91,1,2,0,1,0.39557827097331844,0.3811509581939283
19,99,2,0,1,1,1,25,3,13,1,91,56,1,0,2,2,-0.6361317184807256,0.40304989227136134
19,99,1,0,1,1,1,25,3,13,1,91,56,1,0,2,2,-0.628147412014956,0.40742009295696846
19,99,2,0,0,1,1,25,3,13,1,91,56,1,0,2,2,-0.6399257820663813,0.4185529658415531
19,99,2,1,0,1,1,25,3,13,1,91,56,1,0,2,1,0.35572666394289887,0.42328300719431955
19,99,0,0,1,1,1,25,3,13,1,91,56,1,0,2,2,-0.6201631055491864,0.4117902936425756
19,99,1,1,0,1,1,25,3,13,1,91,56,1,0,2,1,0.3637109704086685,0.42765320787992667
19,99,1,1,1,1,1,25,3,13,1,91,56,1,0,2,1,0.3675050339943241,0.412150134309735
19,99,0,0,2,1,1,25,3,13,1,91,56,1,0,2,2,-0.6163690419635308,0.3962872200723838
19,99,2,1,1,1,1,25,3,13,1,91,56,1,0,2,1,0.35952072752855446,0.4077799336241278
20,74,2,0,0,1,0,22,3,3,1,93,97,1,2,0,2,-0.6079716567055847,0.39073200005120423
20,74,2,0,0,1,0,24,1,20,1,68,67,0,1,2,3,-0.5439520296251341,0.4052148116051265
20,74,2,0,0,1,0,29,0,13,0,80,65,0,0,2,3,-0.5587607958927497,-0.5788941093902036
20,74,1,1,0,1,0,22,3,3,1,93,97,1,2,0,1,0.39566509576946507,0.3998322420895779
20,74,1,1,0,1,0,24,1,20,1,68,67,0,1,2,3,0.4596847228499156,0.4143150536435002
20,74,1,1,0,1,0,29,0,13,0,80,65,0,0,2,3,0.44487595658229995,-0.5697938673518299
20,74,2,1,1,0,0,22,3,3,1,93,97,1,2,0,1,0.4111570432151941,0.38548123487984376
20,74,2,1,1,0,0,24,1,20,1,68,67,0,1,2,3,0.4751766702956445,0.39996404643376604
20,74,2,1,1,0,0,29,0,13,0,80,65,0,0,2,3,0.46036790402802896,-0.584144874561564
20,74,1,1,2,1,0,22,3,3,1,93,97,1,2,0,1,0.40325322294077626,0.3688260949491944
20,74,1,1,2,1,0,24,1,20,1,68,67,0,1,2,3,0.46727285002122676,0.38330890650311666
20,74,1,1,2,1,0,29,0,13,0,80,65,0,0,2,3,0.45246408375361113,-0.6008000144922134
20,74,0,1,2,1,0,22,3,3,1,93,97,1,2,0,1,0.411237529406546,0.3731962956348016
20,74,0,1,2,1,0,24,1,20,1,68,67,0,1,2,3,0.4752571564869964,0.3876791071887238
20,74,0,1,2,1,0,29,0,13,0,80,65,0,0,2,3,0.4604483902193809,-0.5964298138066063
11,78,1,1,2,1,1,25,2,4,1,59,77,0,1,1,3,0.47076803303755976,0.37888701198559804
11,78,1,1,2,1,1,27,0,15,0,69,77,1,2,1,0,0.40826544895865724,-0.6321341419329328
11,78,1,1,2,1,1,18,0,13,0,62,90,1,2,0,0,0.4093008413505903,-0.6324321470981351
11,78,1,1,2,1,1,19,2,3,1,80,98,1,2,0,1,0.40514145528808154,0.36583834149573
11,78,1,1,2,1,1,21,3,8,1,96,83,1,1,1,1,0.38490953915412274,0.3818372838541845
11,78,2,1,1,1,1,25,2,4,1,59,77,0,1,1,3,0.45898966298613464,0.3900198848701827
11,78,2,1,1,1,1,27,0,15,0,69,77,1,2,1,0,0.396487078907232,-0.6210012690483482
11,78,2,1,1,1,1,18,0,13,0,62,90,1,2,0,0,0.39752247129916507,-0.6212992742135506
11,78,2,1,1,1,1,19,2,3,1,80,98,1,2,0,1,0.3933630852366563,0.37697121438031456
11,78,2,1,1,1,1,21,3,8,1,96,83,1,1,1,1,0.3731311691026974,0.3929701567387691
17,65,2,1,1,1,0,28,2,12,0,88,72,0,0,1,3,0.43810270881419744,-0.5891602763036397
17,65,2,1,1,1,0,21,1,16,0,79,58,1,2,2,0,0.3929833058199361,-0.6174936152029616
17,65,0,1,1,1,0,28,2,12,0,88,72,0,0,1,3,0.45407132174573683,-0.5804198749324254
17,65,0,1,1,1,0,21,1,16,0,79,58,1,2,2,0,0.4089519187514755,-0.6087532138317474
17,65,1,0,1,1,0,28,2,12,0,88,72,0,0,1,3,-0.549565430729313,-0.5895201169707991
17,65,1,0,1,1,0,21,1,16,0,79,58,1,2,2,0,-0.5946848337235743,-0.6178534558701211
21,62,0,1,2,1,1,26,2,9,1,65,46,0,2,3,3,0.4925618414860461,0.37320037194978317
21,62,0,0,2,1,1,26,2,9,1,65,46,0,2,3,3,-0.503090604523234,0.3684703305970167
21,62,1,0,1,1,1,26,2,9,1,65,46,0,2,3,3,-0.5148689745746592,0.37960320348160126
13,91,1,0,1,1,0,19,0,7,1,64,63,0,1,2,3,-0.527072124120901,0.38875496447914726
13,91,1,0,1,1,0,25,3,12,0,73,77,0,2,1,3,-0.5074654236587128,-0.6248337046219177
13,91,1,0,1,1,0,21,0,13,1,98,100,0,2,0,3,-0.5138144689319742,0.37457711474533906
13,91,1,0,1,1,0,29,1,3,1,66,90,1,2,0,2,-0.5901998199164011,0.37512471703832073
13,91,1,0,1,1,0,28,1,11,1,85,46,1,2,3,2,-0.5933399612141679,0.3761742526604953
13,91,1,0,1,1,0,19,2,18,0,89,61,0,2,2,3,-0.5100152517956423,-0.6240188474811077
13,91,1,1,1,1,0,19,0,7,1,64,63,0,1,2,3,0.46858032188837917,0.3934850058319138
13,91,1,1,1,1,0,25,3,12,0,73,77,0,2,1,3,0.4881870223505672,-0.6201036632691511
13,91,1,1,1,1,0,21,0,13,1,98,100,0,2,0,3,0.4818379770773057,0.3793071560981055
13,91,1,1,1,1,0,29,1,3,1,66,90,1,2,0,1,0.4054526260928789,0.3798547583910872
13,91,1,1,1,1,0,28,1,11,1,85,46,1,2,3,1,0.4023124847951123,0.38090429401326187
13,91,1,1,1,1,0,19,2,18,0,89,61,0,2,2,3,0.4856371942136376,-0.6192888061283411
22,83,2,1,1,1,1,28,2,11,0,96,75,1,2,1,0,0.39533959577807465,-0.6188888843240002
22,83,1,1,2,1,1,28,2,11,0,96,75,1,2,1,0,0.4071179658295,-0.6300217572085849
22,83,1,1,2,0,1,28,2,11,0,96,75,1,2,1,0,0.42680015615534306,-0.6244994901625202
22,83,0,1,1,1,1,28,2,11,0,96,75,1,2,1,0,0.41130820870961393,-0.610148482952786
16,90,1,0,1,1,0,19,1,0,1,90,52,0,2,3,3,-0.5113407829555415,0.3741158854015134
16,90,1,0,2,0,0,19,1,0,1,90,52,0,2,3,3,-0.48786452904404276,0.3641350788773864
16,90,2,1,1,1,0,19,1,0,1,90,52,0,2,3,3,0.476327356587969,0.37447572606867285
16,90,2,1,2,1,0,19,1,0,1,90,52,0,2,3,3,0.4801214201736247,0.3589726524984811
18,66,2,0,0,1,1,22,1,3,0,50,73,1,1,1,0,-0.6191533811714732,-0.5930054675455724
18,66,2,0,0,1,1,27,2,11,0,57,60,1,0,2,0,-0.6387686246417398,-0.5768682350230229
18,66,1,0,1,1,1,22,1,3,0,50,73,1,1,1,0,-0.607375011120048,-0.604138340430157
18,66,1,0,1,1,1,27,2,11,0,57,60,1,0,2,0,-0.6269902545903145,-0.5880011079076075
18,66,2,0,1,1,1,22,1,3,0,50,73,1,1,1,0,-0.6153593175858176,-0.6085085411157641
18,66,2,0,1,1,1,27,2,11,0,57,60,1,0,2,0,-0.6349745610560842,-0.5923713085932146
18,66,2,1,1,1,1,22,1,3,0,50,73,1,1,1,0,0.3802931284234624,-0.6037784997629976
18,66,2,1,1,1,1,27,2,11,0,57,60,1,0,2,0,0.36067788495319586,-0.5876412672404481
18,66,1,1,0,0,1,22,1,3,0,50,73,1,1,1,0,0.40416556162941963,-0.578382958461134
18,66,1,1,0,0,1,27,2,11,0,57,60,1,0,2,0,0.38455031815915297,-0.5622457259385845
18,66,2,1,1,0,1,22,1,3,0,50,73,1,1,1,0,0.3999753187493055,-0.5982562327169328
18,66,2,1,1,0,1,27,2,11,0,57,60,1,0,2,0,0.3803600752790389,-0.5821190001943833
18,66,1,1,2,1,1,22,1,3,0,50,73,1,1,1,0,0.39207149847488776,-0.6149113726475822
18,66,1,1,2,1,1,27,2,11,0,57,60,1,0,2,0,0.3724562550046211,-0.5987741401250327
18,66,1,1,1,1,1,22,1,3,0,50,73,1,1,1,0,0.38827743488923205,-0.5994082990773905
18,66,1,1,1,1,1,27,2,11,0,57,60,1,0,2,0,0.3686621914189655,-0.583271066554841
16,83,1,0,1,1,0,27,1,12,1,52,66,0,1,2,3,-0.5277952841029261,0.3908642038355604
16,83,1,0,1,1,0,26,1,0,0,96,56,1,0,2,0,-0.6267519283962898,-0.5912159292541695
16,83,2,1,0,1,0,27,1,12,1,52,66,0,1,2,3,0.45607879185492883,0.4067271180729115
16,83,2,1,0,1,0,26,1,0,0,96,56,1,0,2,0,0.35712214756156513,-0.5753530150168185
16,83,1,1,1,1,0,27,1,12,1,52,66,0,1,2,3,0.46785716190635396,0.395594245188327
16,83,1,1,1,1,0,26,1,0,0,96,56,1,0,2,0,0.36890051761299036,-0.5864858879014031
16,83,1,1,2,1,0,27,1,12,1,52,66,0,1,2,3,0.47165122549200966,0.3800911716181352
16,83,1,1,2,1,0,26,1,0,0,96,56,1,0,2,0,0.37269458119864596,-0.6019889614715949
16,83,1,1,0,1,0,27,1,12,1,52,66,0,1,2,3,0.4640630983206985,0.4110973187585186
16,83,1,1,0,1,0,26,1,0,0,96,56,1,0,2,0,0.36510645402733477,-0.5709828143312113
16,83,1,0,0,1,0,27,1,12,1,52,66,0,1,2,3,-0.5315893476885817,0.4063672774057522
16,83,1,0,0,1,0,26,1,0,0,96,56,1,0,2,0,-0.6305459919819454,-0.5757128556839779
31,70,2,1,1,1,1,28,2,1,0,52,71,1,2,1,0,0.3993619005947139,-0.6165191252420428
20,69,1,1,1,1,1,21,3,3,1,87,79,1,0,1,1,0.36355367593310794,0.4154674925171896
20,69,1,1,1,1,1,18,3,9,0,82,97,0,2,0,3,0.4836287452219311,-0.6155170383010669
20,69,2,1,1,1,1,21,3,3,1,87,79,1,0,1,1,0.3555693694673383,0.4110972918315824
20,69,2,1,1,1,1,18,3,9,0,82,97,0,2,0,3,0.47564443875616147,-0.619887238986674
20,69,2,0,0,1,1,21,3,3,1,87,79,1,0,1,2,-0.6438771401275974,0.4218703240490077
20,69,2,0,0,1,1,18,3,9,0,82,97,0,2,0,3,-0.5238020708387743,-0.6091142067692488
20,69,1,1,2,1,1,21,3,3,1,87,79,1,0,1,1,0.36734773951876354,0.39996441894699786
20,69,1,1,2,1,1,18,3,9,0,82,97,0,2,0,3,0.4874228088075866,-0.6310201118712586
14,60,1,0,1,1,0,18,0,6,0,88,52,1,2,3,0,-0.5954629035708517,-0.6187154525991893
14,60,0,1,0,1,0,18,0,6,0,88,52,1,2,3,0,0.40437978531854246,-0.5941121369906238
25,65,1,0,1,1,0,25,3,0,1,62,51,0,1,3,3,-0.5304774677056464,0.394579649800624
25,65,1,0,1,1,0,28,3,12,1,100,55,1,0,2,2,-0.6352835862127066,0.4135721641660035
25,65,2,1,2,1,0,25,3,0,1,62,51,0,1,3,3,0.4609847354235196,0.37943641689759167
25,65,2,1,2,1,0,28,3,12,1,100,55,1,0,2,1,0.35617861691645947,0.3984289312629712
25,65,0,1,1,1,0,25,3,0,1,62,51,0,1,3,3,0.4731592847694034,0.40367989183899766
25,65,0,1,1,1,0,28,3,12,1,100,55,1,0,2,1,0.36835316626234327,0.4226724062043772
